,start_location_lat,start_location_long,created_date,period,time_of_day
8989,30.290177,-97.74656,2016-07-04 03:51:28,7,0 days 03:51:28.000000000
8990,30.267227,-97.743638,2016-07-04 03:52:01,7,0 days 03:52:01.000000000
8991,30.290263,-97.746573,2016-07-04 03:52:36,7,0 days 03:52:36.000000000
8992,30.226764,-97.761517,2016-07-04 03:52:51,7,0 days 03:52:51.000000000
8993,30.29048,-97.746244,2016-07-04 03:53:08,7,0 days 03:53:08.000000000
8994,30.328673,-97.756946,2016-07-04 03:53:11,7,0 days 03:53:11.000000000
8995,30.290208,-97.746541,2016-07-04 03:53:13,7,0 days 03:53:13.000000000
8996,30.350598,-97.77527,2016-07-04 03:53:21,7,0 days 03:53:21.000000000
8997,30.290333,-97.746519,2016-07-04 03:53:30,7,0 days 03:53:30.000000000
8998,30.328675,-97.756938,2016-07-04 03:53:37,7,0 days 03:53:37.000000000
8999,30.226764,-97.761517,2016-07-04 03:53:38,7,0 days 03:53:38.000000000
9000,30.26479,-97.731514,2016-07-04 03:54:06,7,0 days 03:54:06.000000000
9001,30.243881,-97.730476,2016-07-04 03:54:15,7,0 days 03:54:15.000000000
9002,30.226764,-97.761517,2016-07-04 03:54:33,7,0 days 03:54:33.000000000
9003,30.25895,-97.738354,2016-07-04 03:55:54,7,0 days 03:55:54.000000000
9004,30.258966,-97.738363,2016-07-04 03:55:57,7,0 days 03:55:57.000000000
9005,30.394791,-97.74141,2016-07-04 03:56:10,7,0 days 03:56:10.000000000
9006,30.394791,-97.74141,2016-07-04 03:56:21,7,0 days 03:56:21.000000000
9007,30.226764,-97.761517,2016-07-04 03:56:46,7,0 days 03:56:46.000000000
9008,30.258935,-97.738466,2016-07-04 03:57:05,7,0 days 03:57:05.000000000
9009,30.265827,-97.704115,2016-07-04 03:57:20,7,0 days 03:57:20.000000000
9010,30.301693,-97.741007,2016-07-04 03:57:51,7,0 days 03:57:51.000000000
9011,30.225014,-97.761289,2016-07-04 03:58:08,7,0 days 03:58:08.000000000
9012,30.294693,-97.784419,2016-07-04 03:59:40,7,0 days 03:59:40.000000000
9014,30.301766,-97.741033,2016-07-04 04:02:14,8,0 days 04:02:14.000000000
9015,30.268501,-97.736258,2016-07-04 04:03:29,8,0 days 04:03:29.000000000
9016,30.2741,-97.719739,2016-07-04 04:03:48,8,0 days 04:03:48.000000000
9017,30.268501,-97.736258,2016-07-04 04:03:59,8,0 days 04:03:59.000000000
9018,30.262782,-97.725014,2016-07-04 04:04:36,8,0 days 04:04:36.000000000
9019,30.267525,-97.74395,2016-07-04 04:05:19,8,0 days 04:05:19.000000000
9020,30.264635,-97.73145,2016-07-04 04:05:40,8,0 days 04:05:40.000000000
9022,30.262435,-97.774198,2016-07-04 04:08:39,8,0 days 04:08:39.000000000
9023,30.356115,-97.754355,2016-07-04 04:09:01,8,0 days 04:09:01.000000000
9024,30.228925,-97.766725,2016-07-04 04:09:59,8,0 days 04:09:59.000000000
9026,30.269137,-97.748396,2016-07-04 04:10:08,8,0 days 04:10:08.000000000
9027,30.258791,-97.738505,2016-07-04 04:10:29,8,0 days 04:10:29.000000000
9028,30.341258,-97.73842,2016-07-04 04:11:15,8,0 days 04:11:15.000000000
9029,30.341393,-97.738422,2016-07-04 04:11:22,8,0 days 04:11:22.000000000
